example_id,press,ratio,answer,score,elapsed_s,orig_tokens,kept_tokens,mem_bytes
synthetic_0,oracle,0.0, Heparin 5000 units subcutaneously. Multivitamin daily. The medication,0.5,0.953016996383667,274,274,6733824
synthetic_0,random,0.3, Heparin 5000 units subcutaneously. Multivitamin daily. The medication,0.5,0.8469438552856445,274,191,4694016
synthetic_0,random,0.5," Heparin 5000 units subcutaneous.
Question: What is the chief complaint",0.4285714285714285,0.8296740055084229,274,137,3366912
synthetic_0,random,0.7, Patient is a 59 years old and the patient is a 59 years old and the,0.0,0.8282458782196045,274,82,2015232
synthetic_0,knorm,0.3, Heparin 500 units subcutaneously. The patient was started on heparin,0.28571428571428575,0.8356468677520752,274,191,4694016
synthetic_0,knorm,0.5, The patient was started on heparin 500 units subcutaneously. The dose was,0.25,0.8388190269470215,274,137,3366912
synthetic_0,knorm,0.7, The patient was started on a combination of insulin and metformin. The patient was started on a,0.0,0.8521497249603271,274,82,2015232
synthetic_0,snapkv,0.3, Heparin 5000 units. The patient was started on heparin 5,0.28571428571428575,0.8623771667480469,274,191,4694016
synthetic_0,snapkv,0.5," The patient was started on the medication heparin, which was administered at a dose of 1",0.0,0.8583910465240479,274,137,3366912
synthetic_0,snapkv,0.7," The patient was started on insulin therapy, and the dose was 0.5 units per kilogram",0.10526315789473685,0.8546900749206543,274,82,2015232
synthetic_0,domain_aware,0.3, Heparin 500 units subcutaneously. The patient was started with heparin,0.28571428571428575,0.8519060611724854,274,192,4718592
synthetic_0,domain_aware,0.5, Heparin 500 units subcutaneously. The patient was started on heparin,0.28571428571428575,0.8371891975402832,274,137,3366912
synthetic_0,domain_aware,0.7, The patient was started on heparin 1000 units IV bolus and 1,0.25,0.8300280570983887,274,82,2015232
synthetic_1,oracle,0.0, Heparin 5000 units subcutaneously. Multivitamin daily. The medication,0.5,0.8615319728851318,280,280,6881280
synthetic_1,random,0.3, Heparin 5000 units subcutaneously. Multivitamin daily. Hepar,0.5454545454545454,0.8363502025604248,280,196,4816896
synthetic_1,random,0.5, Heparin 5000 units subcutaneously subcutaneously subcutaneously subcut,0.7272727272727273,0.8317360877990723,280,140,3440640
synthetic_1,random,0.7, Patient is a 60-year-old female presenting with fever and cough for the past 2 days,0.0,0.848966121673584,280,84,2064384
synthetic_1,knorm,0.3, Heparin 500 units subcutaneously. The patient was started on heparin,0.28571428571428575,0.845073938369751,280,196,4816896
synthetic_1,knorm,0.5, The patient was started on heparin subcutaneously (subcutaneous) at a dose of,0.25,0.8329508304595947,280,140,3440640
synthetic_1,knorm,0.7, Heparin was started at 1000 units/kg/hr and was continued for 2,0.13333333333333333,0.8380331993103027,280,84,2064384
synthetic_1,snapkv,0.3, Heparin 500 mg intravenous infusion. The patient was started on heparin,0.13333333333333333,0.8600389957427979,280,196,4816896
synthetic_1,snapkv,0.5, The patient was started on heparin (100 mg) and was observed for 2,0.11764705882352941,0.8647198677062988,280,140,3440640
synthetic_1,snapkv,0.7," The patient was started on insulin therapy, and the dose was 0.5 units per kilogram",0.10526315789473685,0.8453691005706787,280,84,2064384
synthetic_1,domain_aware,0.3, Heparin 500 units subcutaneously. The patient was started with heparin,0.28571428571428575,0.8676772117614746,280,196,4816896
synthetic_1,domain_aware,0.5, Heparin 500 units subcutaneously. The patient was started on heparin,0.28571428571428575,0.8456928730010986,280,140,3440640
synthetic_1,domain_aware,0.7, The patient was started on heparin 1000 units IV bolus and 1,0.25,0.8333108425140381,280,84,2064384
synthetic_2,oracle,0.0, Aspirin 81 mg daily.,0.75,0.5213370323181152,265,265,6512640
synthetic_2,random,0.3, Aspirin 81 mg 81 mg 81 mg 81 mg ,0.46153846153846156,0.8412978649139404,265,185,4546560
synthetic_2,random,0.5, Aspirin 81 mg daily. Multivitamin 300 mg daily. Mult,0.46153846153846156,0.829596996307373,265,132,3244032
synthetic_2,random,0.7, 8L 8J 8R 8L 8L 8L 8,0.0,0.8362617492675781,265,79,1941504
synthetic_2,knorm,0.3, Aspirin 80 mg daily. The patient was started on aspirin 80 mg,0.25,0.8413040637969971,265,185,4546560
synthetic_2,knorm,0.5, Aspirin 80 mg daily. The patient was started on aspirin 80 mg,0.25,0.8286049365997314,265,132,3244032
synthetic_2,knorm,0.7, Aspirin 75 mg daily. The patient was started on aspirin 75 mg,0.25,0.8277029991149902,265,79,1941504
synthetic_2,snapkv,0.3, Aspirin 81 mg daily. The patient was started on aspirin 81 mg,0.375,0.8431332111358643,265,185,4546560
synthetic_2,snapkv,0.5, The patient was started on aspirin (aspirin) at a dose of 100,0.125,0.8355100154876709,265,132,3244032
synthetic_2,snapkv,0.7," The patient was started on a course of antibiotics, likely a combination of a fluoroquinolone",0.0,0.8556931018829346,265,79,1941504
synthetic_2,domain_aware,0.3, Aspirin 80 mg daily.,0.5,0.5220019817352295,265,186,4571136
synthetic_2,domain_aware,0.5, Aspirin 80 mg daily. The patient was started on aspirin 80 mg,0.25,0.8350310325622559,265,132,3244032
synthetic_2,domain_aware,0.7, Aspirin was started at 75 mg daily. The patient was started on aspirin to,0.22222222222222224,0.831334114074707,265,80,1966080
synthetic_3,oracle,0.0, Aspirin 81 mg daily.,0.75,0.5187010765075684,261,261,6414336
synthetic_3,random,0.3, Aspirin 81 mg daily was started. The dose was 81 mg daily.,0.5,0.8330190181732178,261,182,4472832
synthetic_3,random,0.5," Started Aspirin, 81 mg elevated. No prior similar episodes. What occurred for the",0.23529411764705882,0.8362078666687012,261,130,3194880
synthetic_3,random,0.7, 69 years medication was started and at what dose. Answer: 69 years medication was,0.0,0.8270649909973145,261,78,1916928
synthetic_3,knorm,0.3, Aspirin 80 mg daily. The patient was started on aspirin 80 mg,0.25,0.8398640155792236,261,182,4472832
synthetic_3,knorm,0.5, Aspirin 80 mg daily. Aspirin 80 mg daily. Aspir,0.30769230769230765,0.8280420303344727,261,130,3194880
synthetic_3,knorm,0.7, Aspirin 75 mg daily. The patient was started on aspirin 75 mg,0.25,0.8279368877410889,261,78,1916928
synthetic_3,snapkv,0.3, Aspirin 81 mg daily. The patient was started on aspirin 81 mg,0.375,0.8414781093597412,261,182,4472832
synthetic_3,snapkv,0.5, Aspirin was started at 75 mg daily. The patient is a 69-year,0.25,0.8357970714569092,261,130,3194880
synthetic_3,snapkv,0.7, The patient was started on aspirin and was prescribed 75 mg of aspirin daily. The,0.2105263157894737,0.8363180160522461,261,78,1916928
synthetic_3,domain_aware,0.3, Aspirin 80 mg daily.,0.5,0.5219070911407471,261,183,4497408
synthetic_3,domain_aware,0.5, Aspirin 80 mg daily.,0.5,0.5153732299804688,261,130,3194880
synthetic_3,domain_aware,0.7, Aspirin 75 mg daily. The patient was started on aspirin 75 mg,0.25,0.8282511234283447,261,78,1916928
synthetic_4,oracle,0.0, Lisinopril 10 mg daily.,0.75,0.5547940731048584,271,271,6660096
synthetic_4,random,0.3, Lisinopril 10 mg daily. Monitor closely. The patient is a 65,0.39999999999999997,0.8470089435577393,271,189,4644864
synthetic_4,random,0.5," Lisinopril 10 mg daily.

What Is The Dose?
Dose: ",0.46153846153846156,0.83207106590271,271,135,3317760
synthetic_4,random,0.7, Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer Answer,0.0,0.8297553062438965,271,81,1990656
synthetic_4,knorm,0.3, Lisinopril 1 mg daily.,0.5,0.5260782241821289,271,189,4644864
synthetic_4,knorm,0.5, Lisinopril 40 mg daily. Lisinopril 40 mg daily.,0.3333333333333333,0.8509008884429932,271,135,3317760
synthetic_4,knorm,0.7, Lisinopril 40 mg daily. Lisinopril 40 mg daily.,0.3333333333333333,0.8501632213592529,271,81,1990656
synthetic_4,snapkv,0.3, Lisinopril 10 mg daily. The patient was started on lisinopril ,0.4285714285714285,0.8477540016174316,271,189,4644864
synthetic_4,snapkv,0.5, The patient was started on lisinopril (a medication used to treat high blood pressure and heart,0.1,0.8430259227752686,271,135,3317760
synthetic_4,snapkv,0.7," The patient was started on warfarin, a blood thinner, at a dose of 1.",0.0,0.8453130722045898,271,81,1990656
synthetic_4,domain_aware,0.3, Lisinopril 10 mg daily.,0.75,0.5621809959411621,271,190,4669440
synthetic_4,domain_aware,0.5, Lisinopril 10 mg daily.,0.75,0.5608730316162109,271,136,3342336
synthetic_4,domain_aware,0.7, The patient was started on lisinopril 40 mg daily. The patient was started on,0.22222222222222224,0.8360791206359863,271,81,1990656
synthetic_5,oracle,0.0, Lisinopril 10 mg daily. The patient was started on lisinopril ,0.4285714285714285,0.8535380363464355,271,271,6660096
synthetic_5,random,0.3, Lisinopril 100 100 100 100,0.22222222222222224,0.8374249935150146,271,189,4644864
synthetic_5,random,0.5, Patient is a 70-year-old female presenting with fever and cough for the past 2 days,0.0,0.8314580917358398,271,135,3317760
synthetic_5,random,0.7, Started and used and used.,0.0,0.42077207565307617,271,81,1990656
synthetic_5,knorm,0.3, Lisinopril 1 mg daily. The patient was started on lisinopril 1,0.26666666666666666,0.859389066696167,271,189,4644864
synthetic_5,knorm,0.5, Lisinopril 40 mg daily. Lisinopril 40 mg daily.,0.3333333333333333,0.8400840759277344,271,135,3317760
